bvid,arcurl,title,pubdate,rank_offset,author,mid,play,review,video_review,favorites,duration,tag,description
BV1n4411v77L,http://www.bilibili.com/video/av51821682,【MUGEN】超级水手月亮 VS 阿沃伽斗娜,2019-05-08 15:33:34,978,枫雪心寒奇,389525570,346,0,0,3,220,"MUGEN,mugen,单机游戏,美少女战士,格斗,动画,月野兔",
BV1r4411t7gD,http://www.bilibili.com/video/av51073590,mugen 派大衫VS海绵宝宝,2019-05-01 19:34:24,979,爱喝酒的我修院,191278610,346,3,1,1,282,"MUGEN,新人,单机游戏,新人向,萌新,新手,自制",
BV1v4411W78u,http://www.bilibili.com/video/av53913408,【MUGEN】剧情向——MELTYBLOOD？4分钟短剧情,2019-05-29 05:53:55,980,Version5,2125922,343,6,0,4,398,"剧情向,mugen,月姬","和幻想的合奏、再临琪露诺、灵梦早苗旅行差不多时间制作的，但是搁置了的玩意ww。
幻想的合奏系列在个人空间，现在在制作第二部，请多多支持~
再临琪露诺：av683044
迎合剧情向用的战斗视频：av267210"
BV1T4411p739,http://www.bilibili.com/video/av54183525,两个新版波罗斯？,2019-05-31 22:23:20,981,Mugen-公瑾i,356979572,342,3,0,0,49,"MUGEN,波罗斯",mugen
BV1X4411a7D2,http://www.bilibili.com/video/av52423728,【mugen】人物对战   里草vs觉醒洛克,2019-05-14 16:10:19,982,微末之城,419626652,341,1,3,1,270,MUGEN,
BV1K4411j7PS,http://www.bilibili.com/video/av53007307,MUGEN闯关游戏,2019-05-19 23:37:24,983,寻找懒羊羊,10582725,338,0,0,0,3218,"MUGEN,杯赛,手操,小游戏",五关已经全部做好只剩下剧情了。
BV1b441177Gh,http://www.bilibili.com/video/av52752597,手机mugen，手操念草新连段VS渊境暴君，念草:觉醒，我有救命稻草，哼哼,2019-05-17 20:49:32,984,账号注销4330019,218289141,338,14,0,1,225,"MUGEN,手操,狂级,拳皇,草薙京,觉醒七枷社",本来打算放弃投视频，喝了点啤酒打上头了。念草10p本辣鸡up手操，毕竟对手是暴君七枷社，所以没气真的玩毛线。
BV134411j7rc,http://www.bilibili.com/video/av52995174,【mugen】孙悟空·贝吉塔VS黑悟空·扎马斯,2019-05-19 20:54:41,985,猫咪律师-梅仁杏,347706890,337,2,2,4,262,"MUGEN,龙珠超,新人向,悟吉塔",我居然没想到这个悟空可以变成自在空，
BV1q4411W7p6,http://www.bilibili.com/video/av53954736,【MUGEN】水手厄里斯 VS 佐伊赛特,2019-05-29 15:33:44,986,枫雪心寒奇,389525570,335,0,0,1,208,"MUGEN,mugen,单机游戏,美少女战士,格斗,动画,游戏",
BV18441147hv,http://www.bilibili.com/video/av51369065,(殺手NAO隊VS超級草薙京隊)Killer Nao Team vs Super Kyo Team,2019-05-04 05:25:58,987,搖滾螞蟻,151112351,335,3,5,6,816,"MUGEN,AI,狂级,NAO,草薙京,血炎,崩壞","YT
底力不一定是好的
來源:https://www.youtube.com/watch?v=BRZKe5dUDQA"
BV1v441157Wb,http://www.bilibili.com/video/av53236273,【KOFM SK HD】手操对决Play - 草薙京Glasses VS 邪恶血炎草薙京,2019-05-22 13:00:31,988,武圣拳尊347,10293554,334,7,1,2,446,"MUGEN,手操,KOFM LV2",BGM：Roselia - BRAVE JEWEL
BV164411v7hr,http://www.bilibili.com/video/av51880379,(殺手雅閣隊VS殺手Nao隊)Killer Yagevil Team vs Killer Nao Team,2019-05-09 06:03:07,989,搖滾螞蟻,151112351,332,9,2,3,726,"MUGEN,狂级,NAO,十割,雅閣,八神","Youtube
一生之敵,結局早已注定
來源:https://www.youtube.com/watch?v=ptyrAwBpaDU"
BV144411t7tJ,http://www.bilibili.com/video/av50996842,MUGEN 1.1 Stage [公开] SFIV Training 16-9 remake,2019-05-01 07:01:48,990,beterhans,740240,332,1,0,4,81,"MUGEN,格斗,街霸","https://www.youtube.com/watch?v=WyXvofMEnFg

Stage Link
http://mugenguild.com/forum/msg.2439598
https://mugenarchive.com/forums/downloads.php?do=file&amp;id=111921-sfiv-training-stage-16-9-remake-beterhans

Character Link
http://mugenguild.com/forum/msg.20833"
BV1Z4411j7F7,http://www.bilibili.com/video/av53175242,【MUGEN】mugen wars -第一次格斗游戏大戦- 決勝戦Part1,2019-05-21 19:26:19,991,今泉の影狼,1430574,330,3,12,8,1131,mugen,"sm35145210
转自nico shin神杯作者坑了。。。"
BV194411e7uc,http://www.bilibili.com/video/av51762680,用反色看mugen,2019-05-07 22:16:48,992,爱喝酒的我修院,191278610,330,5,0,1,92,"MUGEN,新人,新手,萌新,UNDERTALE,反色",啦啦啦
BV1c4411x7ow,http://www.bilibili.com/video/av53704959,【Mugen】悟空vs波罗斯,2019-05-26 21:53:12,993,無敵のウジタ,286172382,329,8,0,2,215,"MUGEN,动漫,自在极意功",不敢相信
BV1C4411J7M3,http://www.bilibili.com/video/av52636544,"(罪-盧卡爾VS二炮,元素隊)Kof Mugen Rugal-Crime VS Ralf-Element Team",2019-05-16 17:23:01,994,搖滾螞蟻,151112351,329,1,0,5,308,"MUGEN,AI,狂级,卢卡尔,二炮,元素,社長","Youtube
今天搬些危險的東西
來源:https://www.youtube.com/watch?v=tuCX0uU-Vn0"
BV1C4411J7Fv,http://www.bilibili.com/video/av52636025,MUGEN KOF (逗逼八神隊VS逗逼草薙京隊)Comedy Iori Team Vs. Comedy Kyo Team,2019-05-16 16:59:26,995,搖滾螞蟻,151112351,329,0,1,4,788,"MUGEN,鬼畜,凶级,八神庵,草薙京","Youtube
屬性過多不易吐嘈
來源:https://www.youtube.com/watch?v=XQf8nWK5EKI"
BV1w4411i7SU,http://www.bilibili.com/video/av51464628,[mugen]黑崎一护VS孙悟空,2019-05-04 23:00:31,996,龙NGH,35307467,329,3,0,2,643,"MUGEN,新人,单机游戏","如果你想让UP弄人物
请在评论区留言
请多多支持，谢谢！！！"
BV1r4411p7Gj,http://www.bilibili.com/video/av53768355,【Mugen】超四悟空VS宇宙生存篇悟空,2019-05-31 12:06:20,997,东方晨己,11935229,328,5,0,0,227,"全勤挑战,自制,MUGEN,Mugen,龙珠,凶恶,孙悟空,超级赛亚人,格斗,狂级,单机游戏","超四悟空10p 宇宙生存篇悟空8p
血量200%
喜欢就素质三连吧 求求关注啦
人物请在作者网站下载。
以后会尽量一周更一次mugen的"
BV1p441177iS,http://www.bilibili.com/video/av52706981,【Mugen】十割vs十割！哲学八神&amp;爪八暴八,2019-05-17 14:51:23,998,麦西麦麦西,3776483,328,2,0,1,117,"全勤挑战,MUGEN,十割,八神,拳皇MUGEN,狂级",-
BV17441177zs,http://www.bilibili.com/video/av52723131,[JOJO]DIO的奇妙冒险最终弹-----挑战自己,2019-05-17 15:42:06,999,冥白焕冥灵,387510415,326,4,26,2,235,"MUGEN,自制,JOJO的奇妙冒险,单机游戏,新人,dio,挑战自己",不知道录什么了就随便水水好了qwq
BV1m4411E7HN,http://www.bilibili.com/video/av52488308,[MUGEN]人物对战：愉悦草VS芙兰八神,2019-05-15 03:12:26,1000,MYC丶love,296086345,325,9,0,2,168,"MUGEN,新手","MUGEN 4P愉悦草VS4P芙兰八神
当你以为八爷要走的时候.....
希望大家素质三连一下，我还会继续更新
如果有想看的人物对战可以评论一下"
BV1y4411V7x1,http://www.bilibili.com/video/av55695185,【MUGEN】最强八神队 VS 最强大蛇队,2019-06-16 13:00:21,1,丶宴傀,105081752,396128,444,1949,1858,557,"MUGEN,杯赛,手操,狂级,kof,Mugen,拳皇,KOF,雅格威尔,雅格威克",大蛇：你永远无法打败我！
BV154411M7Zo,http://www.bilibili.com/video/av54595172,【mugen】火影mugen最新豪华版试玩（附带下载链接）注：手机可玩，自学,2019-06-05 09:39:12,2,闪含微笑,360591076,323045,418,581,6426,1252,"MUGEN,火影,鸣人,试玩,演示,火影忍者疾风传,火影忍者,佐助,十割,手操","链接：https://pan.baidu.com/s/11FCcCS1u9NE1A_n_jbBYSg 
提取码：fnj5 


本期视频包含各个时期的鸣人、佐助、小樱，以及各个火影里的人物，人物相对齐全，技能特效好，
人物的大小是会随着地图的大小改变，这个拿到的朋友可以去尝试一下，越大的地图，人物显示越小。
希望拿到的朋友不忘三连一波！！！！！！感谢！！！！"
BV1ux411Z7Y1,http://www.bilibili.com/video/av56851163,拳皇中最强的两个男人！！！,2019-06-26 05:25:44,3,花牧桂一,17089962,268846,522,323,337,198,"人物,mugen,超爽,整合包,拳皇,打斗,华丽","喜欢的话麻烦关注 推荐 投币 收藏 转发 点一点
感谢大家


纯为自己喜欢侵权的话联系我    我立马删除

链接: https://pan.baidu.com/s/1BMo7cy-x5UEvOEFPI-4TyQ 提取码: mvve 复制这段内容后打开百度网盘手机App，操作更方便哦

这是我收藏百度网盘所有的mugen   喜欢的请打开文件夹下载  


MUGEN资源分享群193551103"
BV1x4411M79i,http://www.bilibili.com/video/av54632084,完整版天国星坠是啥样的?,2019-06-05 18:21:31,4,大师牌,73370683,231349,235,131,1733,89,"MUGEN,mugen,天国星坠",
BV1u4411n7vb,http://www.bilibili.com/video/av54327567,【mugen】火影mugen最新版试玩（附下载链接）注：此版手机可玩,2019-06-02 13:25:58,5,_-太阳_-,383162273,219522,437,275,4282,1032,"MUGEN,手操,鸣人,火影忍者,火影,佐助,新人,狂级,十割,原创","链接：https://share.weiyun.com/5IGFQWL
这个版本手机可玩人物更新了几个注：电脑要用2345解压软件解压，手机用ZA解压。
嫌下载慢的周6我建个群把文件发到群里你们去群空间下载好了满速哦"
BV194411T7Rz,http://www.bilibili.com/video/av54556651,无幻天狱是什么？？,2019-06-04 19:21:20,6,大师牌,73370683,195358,716,586,1308,611,"MUGEN,凶恶,mugen,CC蛟",
BV1H4411u7Pv,http://www.bilibili.com/video/av56410589,大石门开满有多强？,2019-06-22 12:28:11,7,大师牌,73370683,162542,421,555,389,462,"MUGEN,拳皇,KOF,大门,凶恶",一个测试
BV1f4411T7oU,http://www.bilibili.com/video/av54538682,213草 VS 万能大蛇,2019-06-04 15:18:18,8,大师牌,73370683,157929,202,212,438,159,"MUGEN,拳皇,KOF,草薙京,大蛇,逗比,鬼畜",213草10P 5击脱离
BV1h4411V7jd,http://www.bilibili.com/video/av55616109,BOSS少爷开满有多强？,2019-06-15 12:15:25,9,大师牌,73370683,142921,391,427,333,430,"MUGEN,拳皇,KOF,凶恶,少爷,搬运社",一个测试
BV1P4411u7AC,http://www.bilibili.com/video/av54780331,核二炮开满有多强？,2019-06-07 14:00:30,10,大师牌,73370683,141102,307,464,312,448,"MUGEN,mugen,拳皇,凶恶,拉尔夫",一个测试
BV1Gx411d7LD,http://www.bilibili.com/video/av56961436,钢琴草开满有多强？,2019-06-27 12:15:01,11,大师牌,73370683,139295,421,165,244,152,"MUGEN,拳皇,KOF,凶恶,草薙京",一个测试
